code_uai,nom_etablissement,nature_uai,statut,academie,dep,commune,code_insee,code_postal,adresse_postale,lat,lon
0932122B,Lycée polyvalent d'Alembert,lycée polyvalent,public,Créteil,93,Aubervilliers,93001,93300,7 rue DU COMMANDANT L'HERMINIER,48.917325474367935,2.3866879579661195
0772296C,Lycée polyvalent de la Mare Carrée,lycée polyvalent,public,Créteil,77,Moissy-Cramayel,77296,77550,70 rue de la Mare Carrée,48.62843877012857,2.5793521471418255
0772332S,Lycée polyvalent Sonia Delaunay,lycée polyvalent,public,Créteil,77,Cesson,77067,77240,1 rue du Lycée,48.57265222109859,2.608798566040047
0772277G,Lycée polyvalent Henri Becquerel,lycée polyvalent,public,Créteil,77,Nangis,77327,77370,1 boulevard HENRI ROUSSELLE,48.55121929286351,3.0074521985914986
0932129J,Lycée polyvalent d'application de l'ENNA,lycée polyvalent,public,Créteil,93,Saint-Denis,93066,93201,Place du 8 Mai 1945,48.93942848556531,2.355881902782786
0770920G,Lycée La Fayette,lycée polyvalent,public,Créteil,77,Champagne-sur-Seine,77079,77430,Place DES CELESTINS,48.40330437773726,2.7976540778951264
0770944H,Lycée professionnel Auguste Perdonnet,lycée professionnel,public,Créteil,77,Thorigny-sur-Marne,77464,77400,1 allée du Château,48.88732929973339,2.7281192981058764
0930833A,Lycée Jean Zay,lycée d'enseignement général et technologique,public,Créteil,93,Aulnay-sous-Bois,93005,93604,Avenue du Maréchal Juin,48.936149484824476,2.5034290582623515
0772127U,Lycée Galilée,lycée d'enseignement général et technologique,public,Créteil,77,Combs-la-Ville,77122,77385,Avenue André Malraux,48.652191439656086,2.56174477575254
0772229E,Lycée Jean Vilar,lycée d'enseignement général et technologique,public,Créteil,77,Meaux,77284,77100,83 avenue Salvador Allende,48.95461335102046,2.894789005848248
0770687D,ERPD - Internat d'excellence,école régionale du premier degré,public,Créteil,77,Saint-Mammès,77419,77670,13 rue du Capitaine Ballot,48.384575490303504,2.814971307466238
0931585T,Lycée André Boulloche,lycée d'enseignement général et technologique,public,Créteil,93,Livry-Gargan,93046,93190,18 boulevard GUTENBERG,48.912601851382945,2.5195514632061218
0932031C,Lycée Charles de Gaulle,lycée d'enseignement général et technologique,public,Créteil,93,Rosny-sous-Bois,93064,93110,102 rue LAVOISIER,48.861770086102105,2.4914930230858734
0940116R,Lycée Eugène Delacroix,lycée d'enseignement général et technologique,public,Créteil,94,Maisons-Alfort,94046,94704,5 rue Pierre et Marie Curie,48.810789057415114,2.4259112918900176
0930116W,Lycée Henri Wallon,lycée d'enseignement général et technologique,public,Créteil,93,Aubervilliers,93001,93300,146 rue Jacques Salvator,48.9113525929103,2.38832462792748
0772243V,Lycée Camille Claudel,lycée d'enseignement général et technologique,public,Créteil,77,Pontault-Combault,77373,77340,Place d'Anyama,48.7874049161568,2.599490220817385
0932291K,Lycée polyvalent Nicolas-Joseph Cugnot,lycée polyvalent,public,Créteil,93,Neuilly-sur-Marne,93050,93330,55 boulevard LOUIS ARMAND,48.861536325966085,2.520260925956096
0770945J,Lycée professionnel Gustave Eiffel,lycée professionnel,public,Créteil,77,Varennes-sur-Seine,77482,77130,4 avenue D'ORMES,48.37385618033897,2.92676770386737
0772276F,Lycée polyvalent Jehan de Chelles,lycée polyvalent,public,Créteil,77,Chelles,77108,77500,47 rue DES CITES,48.88858428761421,2.612639890504011
0941951K,Lycée polyvalent Marx Dormoy,lycée polyvalent,public,Créteil,94,Champigny-sur-Marne,94017,94507,500 rue du Professeur Paul Milli,48.81546613843271,2.5352958923708515
0932222K,Lycée polyvalent René Cassin,lycée polyvalent,public,Créteil,93,Le Raincy,93062,93340,16 allée DES BOSQUETS,48.899692014794915,2.518773070699601
0931584S,Lycée polyvalent Jean Rostand,lycée polyvalent,public,Créteil,93,Villepinte,93078,93420,8 rue PIERRE AUDAT,48.96013097773987,2.5465449256491284
0930119Z,Lycée polyvalent Eugène Delacroix,lycée polyvalent,public,Créteil,93,Drancy,93029,93700,4 rue DU DOCTEUR SCHWEITZER,48.92500721472923,2.457936453412501
0942130E,Lycée polyvalent Montaleau,lycée polyvalent,public,Créteil,94,Sucy-en-Brie,94071,94371,2 bis rue Pierre Semard,48.769902945113586,2.516878385669346
0930129K,Lycée professionnel Madeleine Vionnet,lycée professionnel,public,Créteil,93,Bondy,93010,93140,1 rue JULES GUESDE,48.90434100653329,2.472955598811062
0930125F,Lycée Paul Éluard,lycée d'enseignement général et technologique,public,Créteil,93,Saint-Denis,93066,93206,15 avenue Jean Moulin,48.9412972594893,2.364486504485791
0932667U,Lycée polyvalent Rosa-Parks,lycée polyvalent,public,Créteil,93,Saint-Denis,93066,93210,70 avenue George Sand,48.91522069997389,2.3652006377705472
0942531R,Lycée polyvalent Vincennes,lycée polyvalent,public,Créteil,94,Vincennes,94080,94300,106 rue de la Jarry,48.8496097281551,2.448567030724825
0930126G,Lycée polyvalent Auguste Blanqui,lycée polyvalent,public,Créteil,93,Saint-Ouen-sur-Seine,93070,93404,54 rue Charles Schmidt,48.90303260775702,2.333941143279612
0931735F,Lycée polyvalent Louise Michel,lycée polyvalent,public,Créteil,93,Épinay-sur-Seine,93031,93800,12 rue Jean-Baptiste Clément,48.96140266408877,2.299037673653177
0770918E,Lycée Uruguay France,lycée polyvalent,public,Créteil,77,Avon,77014,77211,1 avenue DES MARRONNIERS,48.409730744143,2.7363395879461994
0930138V,Lycée professionnel Frédéric Bartholdi,lycée professionnel,public,Créteil,93,Saint-Denis,93066,93200,12 rue de la Liberté,48.943352734923394,2.365792462246213
0930831Y,Lycée professionnel Aristide Briand,lycée professionnel,public,Créteil,93,Le Blanc-Mesnil,93007,93155,120 avenue Aristide Briand,48.94482961709546,2.449369198095032
0771171E,Lycée professionnel Louis Lumière,lycée professionnel,public,Créteil,77,Chelles,77108,77501,04 rue LOUIS LUMIERE,48.8795999213396,2.612279937835049
0941413A,Lycée polyvalent Léon Blum,lycée polyvalent,public,Créteil,94,Créteil,94028,94000,5 rue JEAN GABIN,48.77979890015114,2.445193431335082
0940580V,Lycée de Cachan,lycée polyvalent,public,Créteil,94,Cachan,94016,94230,63 avenue du Président Wilson,48.78867682535173,2.324774506773462
0941972H,Lycée polyvalent Fernand Léger,lycée polyvalent,public,Créteil,94,Ivry-sur-Seine,94041,94200,15 avenue Henri Barbusse,48.80923063748388,2.377952143775689
0940141T,Lycée professionnel Jacques Brel,lycée polyvalent,public,Créteil,94,Choisy-le-Roi,94022,94600,90 avenue d'Alfortville,48.77325875116557,2.4149129113760606
